"","","","","","","","","","","pred"
"1",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"2",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"3",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"4",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"5",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"6",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"7",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"8",35,0,0,0,8.65075594826826e-06,3.88694042380794e-313,3.88694042380794e-313,3.88694042380794e-313,3.88694042380794e-313,1
"9",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"10",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"11",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"12",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"13",94,0,0,0,5.45819636329058e-17,1.73311363161652e-311,1.73311363161652e-311,1.73311363161652e-311,1.73311363161652e-311,1
"14",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"15",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"16",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"17",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"18",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"19",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"20",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"21",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"22",9,0,0,0,0.427214998637073,7.99762804511408e-127,4.17667219898221e-314,4.17667219898221e-314,4.17667219898221e-314,1
"23",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"24",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"25",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"26",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"27",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"28",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"29",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"30",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"31",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"32",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"33",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"34",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"35",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"36",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"37",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"38",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"39",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"40",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"41",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"42",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"43",8,0,0,0,0.535907628572056,8.9718318684662e-113,3.17314838004722e-314,3.17314838004722e-314,3.17314838004722e-314,1
"44",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"45",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"46",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"47",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"48",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"49",45,0,0,0,1.09332987883032e-07,7.3984309870621e-313,7.3984309870621e-313,7.3984309870621e-313,7.3984309870621e-313,1
"50",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"51",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"52",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"53",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"54",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"55",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"56",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"57",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"58",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"59",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"60",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"61",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"62",18,0,0,0,0.0143842294022783,7.36059669168689e-254,1.28268976173806e-313,1.28268976173806e-313,1.28268976173806e-313,1
